Volume,Chapter,Paragraph,Line,LineId,Text
6,1,9,1,6010901,"    The end of the year approached. Tayu~ came to see him in his palace apartments. He was on easy terms with her, since he did not take her very seriously, and they would joke with each other as she performed such services as trimming his hair. She would visit him without summons when there was something she wished to say."
6,1,9,2,6010902,"     ""It is so very odd that I have been wondering what to do."""
6,1,9,3,6010903,  She was smiling.
6,1,9,4,6010904,"     ""What is odd? You must not keep secrets from me."""
6,1,9,5,6010905,"     ""The last thing I would do. You must sometimes think I forget myself, pouring out all my woes. But this is rather difficult."""
6,1,9,6,6010906,  Her manner suggested that it was very difficult indeed.
6,1,9,7,6010907,"     ""You are always so shy."""
6,1,9,8,6010908,"     ""A letter has come from the Hitachi princess.""  She took it out."
6,1,9,9,6010909,"     ""The last thing you should keep from me."""
6,1,9,10,6010910,    She was fidgeting.
6,1,9,11,6010911, The letter was on thick Michinoku paper* and nothing about it suggested feminine elegance except the scent that had been heavily burned into it. But the hand was very good.
6,1,9,12,6010912,"          ""Always, always my sleeve is wet like these.<br>            Wet because you are so very cold."""
6,1,9,13,6010913,"    He was puzzled. ""Wet like what?""
    Tayu~ was pushing a clumsy old hamper toward him. The cloth in which it had come was spread beneath it."
6,1,9,14,6010914,"     ""I simply couldn't show it to you. But she sent it especially for you to wear on New Year's Day, and I couldn't bring myself to send it back, she would have been so hurt. I could have kept it to myself, I suppose, but that didn't seem right either, when she sent it especially for you. So I thought maybe after I had shown it to you--"""
6,1,9,15,6010915,"     ""I would have been very sorry if you had not. It is the perfect gift for someone like me, with 'no one to help me dry my tear-drenched pillow.'""+"
6,1,9,16,6010916,"    He said no more.
    It was a remarkable effort at poetry. She would have worked and slaved over it, with no one to help her. The nurse's daughter would no doubt, had she been present, have suggested revisions. The princess did not have the advice of a learned poetry master. Silence, alas, might have been more successful. He smiled at the thought of the princess at work on her poem, putting all of herself into it."
6,1,9,17,6010917," This too, he concluded, must be held to fall within the bounds of the admirable."
6,1,9,18,6010918, Tayu~ was crimson.
